T,D,X_AR,X_N2,X_HE,X_H2,X_H,X_O2,X_O,X_H2O,X_OH,X_H2O2,X_HO2,X_NO,X_N2O,X_NO2,X_HNO,X_HNO2,X_HONO,X_HONO2,X_N2H2,X_H2NN,X_NH2OH,X_HNOH,X_NH3,X_N2H4,X_N,X_NO3,X_NH,X_NNH,X_NH2,X_H2NO,X_N2H3,t
1299.9997,3.20657766e-06,0,0.714828883,0,2.37100808e-09,1.53203273e-08,0.190114055,2.48854344e-09,1.13874548e-09,1.57909874e-09,2.35454789e-12,7.07135381e-09,1.15945257e-13,1.88472782e-17,2.37874157e-19,8.78330501e-14,6.58390626e-26,4.43564805e-24,4.5871021e-34,1.45249961e-16,5.05783834e-18,1.74658502e-17,1.2104021e-13,0.0950570013,9.11096913e-18,6.18515391e-20,3.61608629e-27,1.0790836e-14,1.44088267e-19,3.09927874e-08,1.55580819e-12,2.94854193e-18,0.0458377999
1299.99967,3.20657772e-06,0,0.714828882,0,2.73080835e-09,1.62083528e-08,0.190114054,2.85536067e-09,1.38518964e-09,1.75595531e-09,2.75050662e-12,7.64341882e-09,1.41617777e-13,2.04173674e-17,3.06588146e-19,9.87586279e-14,8.04368515e-26,5.68614211e-24,7.08559926e-34,1.85531247e-16,6.04594503e-18,2.21827465e-17,1.42477098e-13,0.0950569983,1.09486975e-17,7.67658428e-20,4.4176185e-27,1.36744383e-14,1.52441052e-19,3.38426118e-08,1.83103352e-12,3.53462528e-18,0.049548027
1299.99965,3.20657778e-06,0,0.71482888,0,3.11039514e-09,1.70548916e-08,0.190114052,3.23992801e-09,1.65775291e-09,1.93240537e-09,3.17712118e-12,8.21543726e-09,1.70350357e-13,2.19941612e-17,3.88342866e-19,1.10052614e-13,9.67884999e-26,7.13702701e-24,1.05840081e-33,2.32900149e-16,7.14225881e-18,2.77019935e-17,1.65826129e-13,0.0950569952,1.29928908e-17,9.3794085e-20,5.314785e-27,1.70351934e-14,1.60403802e-19,3.67423309e-08,2.13078404e-12,4.18570224e-18,0.0532582541
1299.99962,3.20657783e-06,0,0.714828879,0,3.50884416e-09,1.78618826e-08,0.190114051,3.64104928e-09,1.95631927e-09,2.1077328e-09,3.63437029e-12,8.78740905e-09,2.02243742e-13,2.35776646e-17,4.84550249e-19,1.21708973e-13,1.14956862e-25,8.7992531e-24,1.53583683e-33,2.88000293e-16,8.35124285e-18,3.40927805e-17,1.9112158e-13,0.0950569921,1.52521398e-17,1.13069299e-19,6.31073634e-27,2.09102213e-14,1.67994758e-19,3.96910887e-08,2.4554992e-12,4.90445439e-18,0.0569684812
1299.9996,3.20657789e-06,0,0.714828878,0,3.92527431e-09,1.8631174e-08,0.19011405,4.0575881e-09,2.28067714e-09,2.28135205e-09,4.12223273e-12,9.35933411e-09,2.37397473e-13,2.51678823e-17,5.96683215e-19,1.33724005e-13,1.35008096e-25,1.06833607e-23,2.17307048e-33,3.51487271e-16,9.67729859e-18,4.14255293e-17,2.18397177e-13,0.095056989,1.7734927e-17,1.34728553e-19,7.40858522e-27,2.53365649e-14,1.7523131e-19,4.26879607e-08,2.80561133e-12,5.69352738e-18,0.0606787082
1299.99957,3.20657794e-06,0,0.714828877,0,4.35884563e-09,1.93645279e-08,0.190114048,4.48846495e-09,2.63053801e-09,2.45278786e-09,4.64068725e-12,9.93121236e-09,2.75910495e-13,2.67648185e-17,7.26275154e-19,1.46095571e-13,1.57011473e-25,1.27998391e-23,3.00720278e-33,4.24027674e-16,1.11247688e-17,4.97718748e-17,2.47686046e-13,0.0950569858,2.04496056e-17,1.58913488e-19,8.6114255e-27,3.0351155e-14,1.82130032e-19,4.57319741e-08,3.18154513e-12,6.55552592e-18,0.0643889353
1299.99955,3.206578e-06,0,0.714828876,0,4.80875738e-09,2.00636239e-08,0.190114047,4.93265455e-09,3.00555061e-09,2.62165967e-09,5.18971263e-12,1.05030437e-08,3.17881384e-13,2.83684771e-17,8.74919304e-19,1.58822715e-13,1.81035671e-25,1.51592765e-23,4.08050529e-33,5.06298092e-16,1.2697926e-17,5.9204643e-17,2.79020696e-13,0.0950569825,2.34043912e-17,1.85770646e-19,9.92233945e-27,3.59907805e-14,1.88706728e-19,4.88221224e-08,3.5837173e-12,7.49301215e-18,0.0680991624
1299.99953,3.20657805e-06,0,0.714828875,0,5.27424628e-09,2.07300631e-08,0.190114046,5.38918331e-09,3.40531302e-09,2.787668e-09,5.76928765e-12,1.10748281e-08,3.63408533e-13,2.99788614e-17,1.04426809e-18,1.71905349e-13,2.07148693e-25,1.77722588e-23,5.44067057e-33,5.98984122e-16,1.44009634e-17,6.97978281e-17,3.12432994e-13,0.0950569792,2.66073528e-17,2.15451667e-19,1.13444036e-26,4.22920597e-14,1.94976464e-19,5.1957377e-08,4.01253638e-12,8.50850197e-18,0.0718093895
1299.9995,3.20657811e-06,0,0.714828873,0,5.75458473e-09,2.1365372e-08,0.190114044,5.85712691e-09,3.82938391e-09,2.95058189e-09,6.37939109e-12,1.16465654e-08,4.12590385e-13,3.15959748e-17,1.23603242e-18,1.853439e-13,2.35419437e-25,2.06493217e-23,7.1410467e-33,7.02779387e-16,1.62379973e-17,8.16265706e-17,3.47954158e-13,0.0950569759,3.00664035e-17,2.4811342e-19,1.28806959e-26,4.92914129e-14,2.009536e-19,5.51366952e-08,4.46840252e-12,9.60446209e-18,0.0755196165
1299.99948,3.20657816e-06,0,0.714828872,0,6.24907915e-09,2.19710054e-08,0.190114043,6.33560787e-09,4.27729231e-09,3.11022779e-09,7.02000176e-12,1.22182557e-08,4.65525597e-13,3.321982e-17,1.45198103e-18,1.99139027e-13,2.65917757e-25,2.3801081e-23,9.24085701e-33,8.18384581e-16,1.82130673e-17,9.47671336e-17,3.85614743e-13,0.0950569725,3.37892972e-17,2.83918058e-19,1.45343012e-26,5.70250397e-14,2.06651825e-19,5.83590281e-08,4.95170744e-12,1.078331e-17,0.0792298436
1299.99945,3.20657822e-06,0,0.714828871,0,6.75706835e-09,2.25483503e-08,0.190114041,6.82379338e-09,4.74854551e-09,3.26648033e-09,7.69109847e-12,1.27898987e-08,5.2231309e-13,3.48503997e-17,1.69393973e-18,2.13291472e-13,2.98713856e-25,2.72383692e-23,1.18054034e-32,9.46506539e-16,2.03301302e-17,1.0929688e-16,4.25444641e-13,0.0950569691,3.77836268e-17,3.23032984e-19,1.63083123e-26,6.55288994e-14,2.12084193e-19,6.1623328e-08,5.46283431e-12,1.20474133e-17,0.0829400707
1299.99943,3.20657828e-06,0,0.71482887,0,7.27792205e-09,2.30987289e-08,0.19011404,7.32089314e-09,5.24263541e-09,3.41925487e-09,8.39266002e-12,1.33614944e-08,5.8305202e-13,3.64877161e-17,1.96379064e-18,2.27801985e-13,3.33878063e-25,3.09722334e-23,1.49062514e-32,1.08785731e-15,2.25930575e-17,1.25294249e-16,4.67473084e-13,0.0950569656,4.20568184e-17,3.65630743e-19,1.82058297e-26,7.48386951e-14,2.17263142e-19,6.49285548e-08,6.00215782e-12,1.33990876e-17,0.0866502978
1299.9994,3.20657833e-06,0,0.714828869,0,7.81103943e-09,2.36234016e-08,0.190114038,7.82615733e-09,5.75904388e-09,3.56850094e-09,9.12466525e-12,1.39330428e-08,6.47841761e-13,3.81317714e-17,2.26347139e-18,2.42671268e-13,3.71480726e-25,3.50138742e-23,1.86213984e-32,1.24315327e-15,2.50056366e-17,1.42838731e-16,5.11728643e-13,0.0950569621,4.66161277e-17,4.11888867e-19,2.02299605e-26,8.49898576e-14,2.22200536e-19,6.82736798e-08,6.57004424e-12,1.48405952e-17,0.0903605248
1299.99938,3.20657839e-06,0,0.714828868,0,8.35584776e-09,2.41235699e-08,0.190114037,8.33887473e-09,6.29724744e-09,3.71419647e-09,9.88709299e-12,1.45045437e-08,7.16781888e-13,3.97825672e-17,2.59497438e-18,2.57899902e-13,4.11592182e-25,3.93746534e-23,2.30354257e-32,1.41311422e-15,2.75715723e-17,1.62010848e-16,5.58239244e-13,0.0950569586,5.14686425e-17,4.61989676e-19,2.23838184e-26,9.60175326e-14,2.26907679e-19,7.16576893e-08,7.16685155e-12,1.63741468e-17,0.0940707519
1299.99934,3.20657847e-06,0,0.714828866,0,9.23543325e-09,2.48636877e-08,0.190114034,9.15908075e-09,7.18693915e-09,3.93626231e-09,1.11482701e-11,1.54036707e-08,8.33898528e-13,4.23936486e-17,3.18595504e-18,2.82589754e-13,4.79954218e-25,4.69102394e-23,3.1618122e-32,1.71197123e-15,3.1928113e-17,1.95669279e-16,6.36052049e-13,0.0950569529,5.971405e-17,5.49052373e-19,2.60429535e-26,1.1522744e-13,2.3387375e-19,7.70585592e-08,8.16528625e-12,1.8978643e-17,0.0999085768
